"","Date","Time","Temperature","Humidity","CO_AQI","NO2_AQI","SO2_AQI"
"97","09/08/2018",04:38:07,"29.00","72.00",43.1818181818182,0.339622641509434,268.214046822742
"98","09/08/2018",04:38:12,"29.00","72.00",43.1818181818182,0.339622641509434,265.896321070234
"99","09/08/2018",04:38:17,"29.00","72.00",43.1818181818182,0.339622641509434,268.545150501672
"100","09/08/2018",04:38:22,"29.00","72.00",43.1818181818182,0.339622641509434,269.869565217391
"101","09/08/2018",04:38:27,"29.00","72.00",45.4545454545455,0.339622641509434,267.882943143813
"102","09/08/2018",04:38:32,"29.00","72.00",45.4545454545455,0.339622641509434,268.876254180602
"103","09/08/2018",04:38:37,"29.00","72.00",45.4545454545455,0.339622641509434,269.538461538462
"104","09/08/2018",04:38:42,"29.00","72.00",45.4545454545455,0.339622641509434,269.207357859532
"105","09/08/2018",04:38:47,"29.00","72.00",45.4545454545455,0.339622641509434,268.545150501672
"106","09/08/2018",04:38:52,"29.00","72.00",43.1818181818182,0.339622641509434,268.214046822742
"107","09/08/2018",04:38:56,"29.00","72.00",43.1818181818182,0.339622641509434,268.214046822742
"108","09/08/2018",04:39:01,"29.00","72.00",43.1818181818182,0.339622641509434,267.551839464883
"109","09/08/2018",04:39:06,"29.00","72.00",43.1818181818182,0.339622641509434,267.882943143813
"110","09/08/2018",04:39:11,"29.00","72.00",43.1818181818182,0.339622641509434,267.882943143813
"111","09/08/2018",04:39:16,"30.00","72.00",43.1818181818182,0.339622641509434,266.558528428094
"112","09/08/2018",04:39:21,"29.00","72.00",43.1818181818182,0.349056603773585,271.19397993311
"113","09/08/2018",04:39:26,"30.00","72.00",43.1818181818182,0.349056603773585,269.207357859532
"114","09/08/2018",04:39:31,"29.00","72.00",41.0227272727273,0.349056603773585,268.876254180602
"115","09/08/2018",04:39:36,"29.00","72.00",41.0227272727273,0.349056603773585,268.545150501672
"116","09/08/2018",04:39:41,"29.00","72.00",41.0227272727273,0.349056603773585,268.876254180602
"117","09/08/2018",04:39:46,"29.00","72.00",41.0227272727273,0.349056603773585,267.551839464883
"118","09/08/2018",04:39:51,"29.00","72.00",41.0227272727273,0.358490566037736,269.207357859532
"119","09/08/2018",04:39:56,"30.00","72.00",41.0227272727273,0.358490566037736,269.207357859532
"120","09/08/2018",04:40:01,"29.00","72.00",41.0227272727273,0.358490566037736,268.876254180602
"121","09/08/2018",04:40:06,"29.00","72.00",41.0227272727273,0.358490566037736,270.531772575251
"122","09/08/2018",04:40:11,"29.00","72.00",41.0227272727273,0.358490566037736,268.545150501672
"123","09/08/2018",04:40:16,"30.00","72.00",38.8636363636364,0.358490566037736,271.52508361204
"124","09/08/2018",04:40:21,"30.00","72.00",38.8636363636364,0.358490566037736,282.451505016722
"125","09/08/2018",04:40:26,"29.00","72.00",38.8636363636364,0.358490566037736,276.822742474916
"126","09/08/2018",04:40:31,"30.00","72.00",38.8636363636364,0.358490566037736,279.140468227425
"127","09/08/2018",04:40:36,"29.00","72.00",38.8636363636364,0.358490566037736,274.836120401338
"128","09/08/2018",04:40:41,"30.00","72.00",41.0227272727273,0.358490566037736,277.816053511706
"129","09/08/2018",04:40:46,"29.00","72.00",41.0227272727273,0.358490566037736,277.816053511706
"130","09/08/2018",04:40:51,"30.00","72.00",41.0227272727273,0.358490566037736,279.140468227425
"131","09/08/2018",04:40:56,"30.00","72.00",41.0227272727273,0.358490566037736,279.802675585284
"132","09/08/2018",04:41:01,"30.00","72.00",41.0227272727273,0.367924528301887,279.802675585284
"133","09/08/2018",04:41:06,"29.00","72.00",41.0227272727273,0.367924528301887,279.802675585284
"134","09/08/2018",04:41:11,"29.00","72.00",41.0227272727273,0.367924528301887,277.484949832776
"135","09/08/2018",04:41:16,"30.00","72.00",41.0227272727273,0.367924528301887,279.802675585284
"136","09/08/2018",04:41:21,"30.00","72.00",41.0227272727273,0.367924528301887,278.478260869565
"137","09/08/2018",04:41:26,"29.00","72.00",41.0227272727273,0.367924528301887,278.147157190635
"138","09/08/2018",04:41:31,"30.00","72.00",41.0227272727273,0.367924528301887,277.816053511706
"139","09/08/2018",04:41:35,"29.00","72.00",41.0227272727273,0.367924528301887,278.809364548495
"140","09/08/2018",04:41:40,"29.00","72.00",41.0227272727273,0.367924528301887,277.816053511706
"141","09/08/2018",04:41:45,"29.00","72.00",38.8636363636364,0.367924528301887,278.147157190635
"142","09/08/2018",04:41:50,"29.00","72.00",41.0227272727273,0.367924528301887,276.822742474916
